smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_HF(eV),HOMO_DFT(eV),op_time,LUMO(eV),LUMO_xtb(eV),LUMO_HF(eV),LUMO_DFT(eV),xtb_time,GAP(eV),GAP_xtb(eV),GAP_HF(eV),GAP_DFT(eV),crest_time,xtb1_times,TotalE,dft_hf_op_time,dft_hf_pre_opt_time,dft_hf_crest_time,dft_hf_opt_time,Times
gdb 18,CC(C)=O,-6.615087996399682,-10.9101,-11.014533073439955,-6.607860965604133,0.08938145637512207,-0.23673906034009554,-6.8264,4.16678599972623,-0.4198143979013483,0.46936964988708496,6.378348936059586,4.083690903483,15.181319073166184,6.188046567702785,2.094966411590576,0.1650235652923584,-8497.1949054572,15.992143869400024,16.44890522956848,16.337003231048584,16.268433332443237,2.8187410831451416
gdb 215,C1=CC=NC=C1,-6.851827056739778,-10.0214,-9.299606376702497,-6.79560789929615,0.13127899169921875,-0.6122561905347299,-6.8002,3.4544846502150772,-0.5528695378075456,0.42573094367980957,6.239570866205048,3.221261783785,12.754091026917575,6.2427383614886045,2.009618043899536,0.0662233829498291,-10138.40657068303,26.853900909423828,26.479947090148926,26.578792095184326,26.275362968444824,2.6328513622283936
gdb 749,CN1N=CC=N1,-7.039585621837094,-10.9615,-9.721647318630476,-7.07524048965039,0.12924981117248535,-0.029932524870586796,-6.4827,4.320493903112212,0.12314222880550205,0.4381434917449951,7.012374235591106,4.478762904837,14.042141221742687,7.198382718455893,2.422980308532715,0.14126229286193848,-11123.238030667084,30.50817036628723,30.71555256843567,30.611797332763672,30.862323760986328,3.131635904312134
gdb 1380,N=CNC(=N)C=O,-6.884480720234963,-10.415,-10.066293047728701,-6.824187493845638,0.16529369354248047,-2.4245345145175303,-8.6496,2.437116020972229,-1.9584545414915944,0.4566686153411865,4.459946205717432,1.765396273816,12.503409068700929,4.865732952354044,2.354597806930542,0.08767938613891602,-13648.75553106094,74.74631428718567,79.8601393699646,78.16055917739868,79.6831579208374,3.064239501953125
gdb 1392,CC#CC(C)C=O,-6.606924580525885,-10.7484,-10.047232210963681,-6.658217369379713,0.1287364959716797,-0.6966114878972928,-7.3285,4.10913509299412,-0.6412153187021489,0.5944697856903076,5.910313092628592,3.419985259828,14.1563673039578,6.017002050677564,3.23441481590271,0.2911076545715332,-13125.231105273404,85.73795890808105,89.43184566497803,90.82071304321289,86.89874172210693,4.2487287521362305
gdb 1445,CCC(=O)NC=N,-7.012374235591106,-10.6723,-10.463451273397048,-6.956268576514493,0.14262127876281738,-0.394565100566826,-7.093,4.16717758036984,-0.3885473740868987,0.45904064178466797,6.61780913502428,3.579329414029,14.630628853766888,6.567721202427594,2.9892771244049072,0.2688581943511963,-14154.826428709797,89.89080882072449,88.65286827087402,89.70042324066162,95.68041706085205,3.859797239303589
gdb 1590,CC(=O)C(O)C#C,-7.134825473698052,-11.2322,-10.655334028037737,-7.150136734183066,0.20885944366455078,-0.9932155979785617,-7.4848,3.6949078066389194,-0.947779110902213,0.7238404750823975,6.141609875719491,3.747361657252,14.350241834676657,6.202357623280853,3.0632622241973877,0.5143437385559082,-13686.738956289557,93.96911692619324,86.73703026771545,86.83399486541748,87.91898775100708,4.510305881500244
gdb 1647,CNC(=N)C(C)=O,-6.174263539214676,-10.3427,-9.732220036364653,-6.431808112604317,0.1600172519683838,-1.5183953525261302,-7.5092,2.895147593931402,-1.370855776898883,0.5237092971801758,4.655868186688546,2.833485476513,12.627367630296055,5.0609523357054345,3.7087860107421875,1.1021502017974854,-14139.02731079378,92.47752952575684,92.24673748016357,96.51265048980713,95.96040272712708,5.494662761688232
gdb 1943,N=C1CC(O1)C=O,-7.2273441869344115,-10.9439,-11.14322971743937,-7.2359068216291815,0.23009276390075684,-1.17825302445128,-8.1374,3.3664431877052086,-1.3114096147144487,0.923879861831665,6.0463700238585325,2.806534419428,14.509672905144578,5.924497206914733,2.5095229148864746,0.3731045722961426,-13874.096691565643,81.06869983673096,81.6099488735199,80.70741629600525,80.98724555969238,4.036600112915039
gdb 2322,CC1CN1CC=O,-6.508963590040328,-9.8184,-10.216020058030086,-6.4382695778763255,0.18090415000915527,-0.6095350519101311,-7.4086,4.07382866576959,-0.6985875265573966,1.0429787635803223,5.899428538130198,2.409800551925,14.289848723799675,5.739682051318929,4.130096673965454,0.42034101486206055,-13954.292279487492,101.14101004600525,102.27436661720276,111.74295783042908,107.9450569152832,5.774320602416992
gdb 2496,O=CC(C#N)C#N,-8.489952508748255,-12.4176,-12.737707528576136,-8.516161980761643,0.20520591735839844,-2.4272556531421294,-8.7422,2.277725486093613,-2.4008884874890235,0.5719754695892334,6.062696855606125,3.67542074121,15.01543301466975,6.115273493272619,1.9735705852508545,0.2334909439086914,-12162.520303258907,34.797624349594116,34.00232172012329,34.572288274765015,33.61479473114014,2.9842429161071777
gdb 2754,CC1COC1C#N,-7.586534485381453,-11.3087,-11.992951084376312,-7.590554092575704,0.18801236152648926,-0.013605693122993997,-6.422,4.503624579366143,0.007835325640517567,0.7170102596282959,7.572928792258459,4.886726711182,16.496575663742455,7.598389418216221,3.1438329219818115,0.2630467414855957,-13305.543158494933,92.73276042938232,92.42157506942749,93.11036515235901,92.73967671394348,4.311902284622192
gdb 2848,CCC1OC1C=O,-7.066797008083082,-11.3988,-11.483899299017368,-7.048587981389288,0.18249082565307617,-1.099340004337915,-7.8964,3.569299725504308,-1.044776560971245,0.8975207805633545,5.967457003745167,3.502441893437,15.053199024521676,6.003811420418043,3.732180118560791,0.5158872604370117,-14353.483664312975,98.88710689544678,96.58096313476562,102.07085824012756,100.79737663269043,5.328078985214233
gdb 2983,OC(C#N)C1CN1,-7.202853939313022,-10.9769,-11.091403522417561,-7.145200605137648,0.16435599327087402,-0.11700896085774838,-6.2488,4.760710047472885,0.3925893408176733,0.8093798160552979,7.085844978455275,4.728133807058,15.852113569890445,7.537789945955322,2.861943006515503,0.23613977432250977,-13464.72700730389,90.5614583492279,81.3650598526001,89.10084104537964,89.97204661369324,4.071818590164185
