mol_id,SMILES,formula,inchi,mass,HOMO(eV),LUMO(eV),GAP(eV),dipole_moment
000000001,[O-]C(=O)CC(C[N+](C)(C)C)OC(=O)C,C9H17NO4,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3",203.23558,-4.60960862747,-0.2612292964799998,4.34837933099,11.419443262233626
000000003,OC1C=CC=C(C1O)C(=O)O,C7H8O4,"InChI=1S/C7H8O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,5-6,8-9H,(H,10,11)",156.13602,-6.72121210735,-2.1333725879200003,4.58783951943,5.099240805823648
000000004,CC(CN)O,C3H9NO,"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3",75.10966,-6.50896330396,1.8449319063900003,8.35389521035,2.773043358384791
000000005,NCC(=O)COP(=O)(O)O,C3H8NO5P,"InChI=1S/C3H8NO5P/c4-1-3(5)2-9-10(6,7)8/h1-2,4H2,(H2,6,7,8)",169.073081,-7.028700758415,-1.37145380652,5.657246951895,6.730408886738234
000000006,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])Cl,C6H3ClN2O4,InChI=1S/C6H3ClN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H,202.55202,-8.051848836295001,-3.137472696265,4.914376140030001,3.7169311905175215
000000007,CCn1cnc2c1ncnc2N,C7H9N5,"InChI=1S/C7H9N5/c1-2-12-4-11-5-6(8)9-3-10-7(5)12/h3-4H,2H2,1H3,(H2,8,9,10)",163.17986,-5.78514046163,-0.5796025015649997,5.2055379600650005,2.6093489730189408
000000008,CCC(C(C(=O)O)O)(O)C,C6H12O4,"InChI=1S/C6H12O4/c1-3-6(2,10)4(7)5(8)9/h4,7,10H,3H2,1-2H3,(H,8,9)",148.15708,-7.230065007785,0.25850815797500015,7.48857316576,4.766028737683921
000000009,OC1C(OP(=O)(O)O)C(O)C(C(C1O)O)O,C6H13O9P,"InChI=1S/C6H13O9P/c7-1-2(8)4(10)6(5(11)3(1)9)15-16(12,13)14/h1-11H,(H2,12,13,14)",260.135781,-7.025979619909999,0.26667157349000004,7.292651193399999,2.8406045814257572
000000010,O=CN(c1ccc(cc1)C(=O)NC(C(=O)O)CCC(=O)O)CC1CNc2c(N1)c(=O)nc([nH]2)N,C20H23N7O7,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)",473.43932,-5.40962334794,-0.8190626900049995,4.590560657935001,13.193349235622128
000000011,ClCCCl,C2H4Cl2,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,98.95916,-8.307635855765001,0.18775855684500087,8.495394412610002,4.263801121065569e-05
000000012,Oc1cc(O)c(c(c1)O)O,C6H6O4,"InChI=1S/C6H6O4/c7-3-1-4(8)6(10)5(9)2-3/h1-2,7-10H",142.10944,-5.09397128136,0.5659968090399996,5.6599680904,1.5048257674634629
000000013,Clc1ccc(c(c1)Cl)Cl,C6H3Cl3,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,181.44702,-6.77563487745,-1.0013789698400002,5.77425590761,1.3014318373533822
