smiles_key,SMILES,HOMO(eV),HOMO_xtb_RD(eV),HOMO_HF_RD(eV),HOMO_DFT_RD(eV),LUMO(eV),LUMO_xtb_RD(eV),LUMO_HF_RD(eV),LUMO_DFT_RD(eV),GAP(eV),GAP_xtb_RD(eV),GAP_HF_RD(eV),GAP_DFT_RD(eV),ToT Energie(eV),ToT Energie(Kcal/mol),Times(s),rmsd_pre(A),rmsd_conf(A),rmsd1_conf(A),rmsd_opt(A),rmsd1_opt(A),rdkit_time,xtb_time,crest_time,xtb_opt_time,dft_time,xtb_cal_time,xTB_Lin,DFT_Lin
gdb 4380,OC1=CN=CC(O)=N1,-6.323926111047999,-7.3872,-8.821217823977822,-6.337729894908198,-1.0775708863920002,-6.2732,2.6133274748711077,-1.2142675891151766,5.246355224656,1.114069251352,11.43454529884893,5.123462305793021,-15366.620302079957,-666.359719156474,119.16220998764038,0.0705252154032341,0.4365344398874897,0.4367963183104802,0.4449779031441181,0.0013604481056519,0.076784610748291,0.5241518020629883,18.33095908164978,0.2503378391265869,96.56997418403624,0.0009338855743408,-6.310202953878678,-6.605297532488377
gdb 9022,CC(C#N)C#CC#C,-7.134825414443999,-8.0483,-9.217542530457685,-6.771260010655417,-0.930629401884,-7.16,0.6807870984875675,-2.946418200707446,6.20419601256,0.888254131602,9.898329628945252,3.82484180994797,-12647.58685956198,-548.4512704855523,123.13825178146362,0.5400638332748628,0.4771430220686435,0.4767698719333565,0.2168456778707912,0.0081534737543338,0.0135362148284912,0.7538814544677734,22.901055812835693,0.2731702327728271,96.5003399848938,0.0008721351623535,-6.605916764500908,-6.790903694732837
gdb 14590,O=CNC=NCC#C,-6.957951405314,-7.532,-8.116407475231007,-4.52060022213194,-0.6149773240519999,-5.4116,2.5438147470814183,-1.7931352084034875,6.34025294266,2.120375468379,10.660222222312424,2.727465013728452,-14734.079509383942,-638.9301545098564,148.52951002120972,0.9466581913448312,1.3965253996322222,1.389264452493615,1.8896152890558835,0.0529053008224739,0.0098268985748291,1.21095609664917,21.47941827774048,0.4415595531463623,122.76443338394164,0.0020759105682373,-6.374972821944173,-5.82733435850398
gdb 22022,NC1=CC(C=NO1)=NO,-5.317104828308,-8.0968,-6.908689185634493,-3.797252264376543,-1.208185539288,-6.3399,1.1699337230568476,-2.1801929855757307,4.10891928902,1.756853016784,8.07862290869134,1.617059278800812,-17462.363511579086,-757.2397454116226,270.53016543388367,0.4177280505552013,0.515706116058821,0.5372726105847884,0.491750308638778,0.0380834539040209,0.0153436660766601,0.95831561088562,18.983476161956787,0.5124218463897705,247.2979671955109,0.0010237693786621,-6.6276110918571,-5.517649209699627
gdb 24412,C1OC=NC2=C1OC=N2,-6.02732200343,-8.09,-7.660523209369376,-5.449251762634791,-0.73470742254,-6.8476,2.044213216282934,-1.8794444780467467,5.29261458089,1.24237406408,9.70473642565231,3.5698072845880446,-16701.36726463756,-724.2398251023764,242.39891076087952,0.0567242453628003,0.236014457003805,0.2356977590712647,0.2404404811404988,0.0011329537932707,0.012192964553833,0.4566569328308105,18.242595672607425,0.3067221641540527,220.63828825950625,0.0009756088256835,-6.624569412970046,-6.224915615801546
gdb 28867,CC1=C(C)C(N)=NC=N1,-6.196032596754,-6.5094,-8.576585739831339,-5.851205025047193,-0.304767523424,-5.8947,3.241089417945382,-0.6814640300202123,5.89126507333,0.614703101073,11.81767515777672,5.169740995026981,-16381.078852804556,-710.3508051381604,304.26005721092224,0.2332355622676125,1.0615125732807218,1.0616551610110714,1.013573528845806,0.0094756450225597,0.0225293636322021,1.0031397342681885,32.35668325424194,0.7712993621826172,267.406462430954,0.0010857582092285,-5.917557994017547,-6.397002858943625
gdb 29313,CC1=C(OC=C1N)C#N,-5.951130122574,-7.1935,-7.705157604053196,-5.374714276378009,-0.92518712468,-5.6064,2.228515898441522,-1.243093228104606,5.025942997894,1.587170821491,9.933673502494717,4.131621048273403,-16105.2215577988,-698.3885007398134,254.337916135788,0.057657101808983,0.095493401464762,0.0585276995109797,0.0717159971312466,0.0663508737573968,0.0263319015502929,0.6768460273742676,21.082179307937626,0.600128173828125,229.2737762928009,0.0047719478607177,-6.2235598361695175,-6.193004068564221
gdb 42275,O=C(C#N)C1CC2OC12,-7.548438481947999,-8.9167,-11.093179068095113,-7.312501937106652,-2.405486524168,-6.4387,1.2974455540690135,-2.9135455635936545,5.14295195778,2.478045508756,12.390624622164124,4.3989563735129975,-16469.099729316553,-714.1677515713654,263.8793840408325,0.674694182920809,1.1521996764484193,1.1508600655188477,1.353820067239713,0.006245488801635,0.0151684284210205,1.012265682220459,22.10557174682617,0.3552112579345703,237.60984110832212,0.0006794929504394,-6.994357050606406,-7.022624244621891
gdb 43049,O=C1C2CN3C2CCC13,-5.861332548708,-7.0658,-9.341056230795472,-5.615494548026467,-0.304767523424,-1.5965,2.929113231509697,-1.607046209130864,5.556565025284,5.469334539366,12.27016946230517,4.008448338895603,-16580.948499727416,-719.0179732709861,378.40163230896,0.1927931236701494,0.1949543446521267,0.1933858456876063,0.0042905762233671,0.0041326253983615,0.0625715255737304,0.7963047027587891,22.62643790245056,0.5080277919769287,351.6236262321472,0.000838279724121,-6.166438895893524,-6.296088722989719
gdb 45561,O=C1CC2COCC2C1,-6.604203387054,-7.5439,-10.797105525514969,-6.603784289311976,-0.5959293538379999,0.0954,2.45277240287324,-1.9582568125921784,6.008274033216,7.639311613889,13.249877928388209,4.645527476719798,-17629.683161095076,-764.4954120754071,346.2452161312103,0.5823854208180428,0.7044839638594619,0.7026074811051374,0.4404903894497368,0.0038332891155311,0.0170998573303222,1.315138578414917,37.42830014228821,0.5635278224945068,304.21799421310425,0.0008845329284667,-6.380295759996517,-6.719202733764757
