smiles_key,SMILES,HO(eV),HOMO_xtb(eV),HOMO_HF(eV),HOMO_DFT(eV),op_time,LUMO(eV),LUMO_xtb(eV),LUMO_HF(eV),LUMO_DFT(eV),xtb_time,GAP(eV),GAP_xtb(eV),GAP_HF(eV),GAP_DFT(eV),crest_time,xtb1_times,TotalE,dft_hf_op_time,dft_hf_pre_opt_time,dft_hf_crest_time,dft_hf_opt_time,Times
gdb 18,CC(C)=O,-6.615087996399682,-10.909,-11.077947938453793,-6.581311021439063,0.08133101463317871,-0.23673906034009554,-6.8242,4.380674271778998,-0.28683381298135835,0.907515287399292,6.378348936059586,4.084768242896,15.458622210232791,6.294477208457705,1.8862760066986084,3.382490873336792,-8497.1950301289,16.34890866279602,17.76244592666626,17.118474006652832,16.97419548034668,6.257613182067871
gdb 215,C1=CC=NC=C1,-6.851827056739778,-10.0214,-9.343364805044581,-6.922092856641762,0.13943886756896973,-0.6122561905347299,-6.8002,3.4450914894809372,-0.562506684339408,1.068674087524414,6.239570866205048,3.221261844324,12.788456294525519,6.359586172302354,2.0774950981140137,1.2195122241973877,-10138.406570606476,27.023053407669067,26.59233069419861,27.258238554000854,26.55667471885681,4.505120277404785
gdb 749,CN1N=CC=N1,-7.039585621837094,-10.9616,-9.606796348628476,-6.946902754284739,0.10706639289855957,-0.029932524870586796,-6.4822,4.22732987409207,0.03444533750792196,1.1384844779968262,7.012374235591106,4.479468581403,13.834126222720545,6.981348091792661,2.037773370742798,1.3001830577850342,-11123.242989517834,27.866788387298584,27.72884702682495,27.513524293899536,27.559805154800415,4.583507299423218
gdb 1380,N=CNC(=N)C=O,-6.884480720234963,-10.6435,-9.771054260672424,-6.554304931921403,0.14728569984436035,-2.4245345145175303,-8.7738,1.769999413835053,-2.490610680662754,1.3626248836517334,4.459946205717432,1.869696258635,11.541053674507477,4.063694251258649,2.268430709838867,1.6532433032989502,-13646.852146169827,70.94739866256714,71.11341857910156,70.94949316978455,70.5704357624054,5.431584596633911
gdb 1392,CC#CC(C)C=O,-6.606924580525885,-10.7485,-9.947023727427705,-6.636065074914216,0.1494600772857666,-0.6966114878972928,-7.3289,3.9729613333301494,-0.7401123619097777,3.8441162109375,5.910313092628592,3.419640793302,13.919985060757854,5.895952713004438,3.015923261642456,4.594390392303467,-13125.231225530013,79.75248527526855,79.14169955253601,80.36488246917725,80.24759721755981,11.60388994216919
gdb 1445,CCC(=O)NC=N,-7.012374235591106,-10.4619,-10.2589134897899,-6.351505158724144,0.13783049583435059,-0.394565100566826,-7.0516,4.030827089829889,-0.46880467016028904,1.4078834056854248,6.61780913502428,3.410252020996,14.289740579619789,5.882700488563854,2.999063730239868,5.080021381378174,-14153.567785578456,80.29038834571838,79.41552901268005,84.1516809463501,84.15890789031982,9.624799013137817
gdb 1590,CC(=O)C(O)C#C,-7.134825473698052,-11.2329,-10.533266350127958,-6.986059718203377,0.1220402717590332,-0.9932155979785617,-7.4854,3.4661996041444985,-1.0659978994537065,3.493807792663574,6.141609875719491,3.74751906999,13.999465954272456,5.92006181874967,2.7862069606781006,5.137105703353882,-13686.740292981269,83.6757242679596,78.73604440689087,78.24702572822571,78.97256517410278,11.53916072845459
gdb 1647,CNC(=N)C(C)=O,-6.174263539214676,-10.3427,-9.544424379707662,-6.229405069578274,0.21692562103271484,-1.5183953525261302,-7.5089,2.5463888369312113,-1.6550946418258266,1.1697065830230713,4.655868186688546,2.833838363683,12.090813216638873,4.574310427752447,3.125013589859009,7.03241753578186,-14139.027289509606,83.77418255805969,84.02022457122803,87.3124475479126,86.70165205001831,11.544063329696655
gdb 1943,N=C1CC(O1)C=O,-7.2273441869344115,-10.9437,-11.076803170532703,-7.040380177724928,0.16214966773986816,-1.17825302445128,-8.138,3.37157260691581,-1.354650663849017,3.9739363193511963,6.0463700238585325,2.805689647996,14.448375777448513,5.685729513875911,2.3920514583587646,4.275604963302612,-13874.09725969975,72.73962163925171,73.45633482933044,73.6580171585083,73.71470212936401,10.803742408752441
gdb 2322,CC1CN1CC=O,-6.508963590040328,-9.8187,-9.980039595410897,-6.29343799043727,0.19649553298950195,-0.6095350519101311,-7.4088,3.591431497008982,-1.1431034910774904,3.5425808429718018,5.899428538130198,2.409903791014,13.571471092419879,5.150334499359779,4.021278142929077,4.895982980728149,-13954.291816679888,90.70602369308472,92.61350178718567,100.13935256004333,97.00093412399292,12.65633749961853
gdb 2496,O=CC(C#N)C#N,-8.489952508748255,-12.4176,-12.726967701819566,-8.457005653430736,0.1316239833831787,-2.4272556531421294,-8.7422,2.2031506541160266,-2.4179044678767876,2.1477231979370117,6.062696855606125,3.675412059444,14.930118355935592,6.039101185553948,1.8391387462615967,4.117579936981201,-12162.52085755413,30.515111207962036,33.86025786399841,29.765716075897217,29.50553321838379,8.236065864562988
gdb 2754,CC1COC1C#N,-7.586534485381453,-11.3087,-11.804687312025722,-7.498282546231642,0.16790199279785156,-0.013605693122993997,-6.4218,4.2102196624606485,-0.2994427570771516,2.479300022125244,7.572928792258459,4.886898915189,16.014906974486372,7.198839789154491,2.7165720462799072,2.474900960922241,-13305.543537763464,83.88229870796204,84.09631943702698,83.83389496803284,84.34601926803589,7.838675022125244
gdb 2848,CCC1OC1C=O,-7.066797008083082,-11.3987,-11.172609881847809,-6.940764644700508,0.1462416648864746,-1.099340004337915,-7.8961,3.346226742051945,-1.3730707187661657,3.4836485385894775,5.967457003745167,3.502575143699,14.518836623899753,5.567693925934342,3.353984832763672,5.584299564361572,-14353.48210003956,89.39361190795898,87.16015458106995,92.36829328536987,91.6032702922821,12.568174600601196
gdb 2983,OC(C#N)C1CN1,-7.202853939313022,-10.9762,-11.118580738071275,-7.264840728241167,0.1467428207397461,-0.11700896085774838,-6.2488,4.6879907422009754,0.20808344263508546,2.1727211475372314,7.085844978455275,4.727357650983,15.80657148027225,7.472924170876253,2.561173915863037,2.444610357284546,-13464.727246227652,73.88100337982178,74.32496643066406,76.043212890625,75.51817846298218,7.3252482414245605
