smiles_key,rmsd_ase_pre(A),rmsd_bio_pre(A),rmsd_mda_pre(A),rmsd_pre(A),rmsd_ase_conf(A),rmsd_bio_conf(A),rmsd_mda_conf(A),rmsd_conf(A),rmsd_ase_opt(A),rmsd_bio_opt(A),rmsd_mda_opt(A),rmsd_opt(A),rmsd1_conf(A),rmsd1_opt(A)
gdb 18,0.06446193962524835,0.01878797345669146,0.018787982365277005,0.018787973456691514,1.057730189736363,1.1452186957795212,2.6089130580252404,1.1452186957795212,2.024829043896219,1.1840943782026556,2.619919929407995,1.1840943782026556,1.139908474247843,0.3096000571607034
gdb 215,0.055678761578547106,0.016081134097119497,0.016081124914213235,0.01608113409711936,0.08831269946931057,0.026551342341793276,0.08035585073859569,0.026551342341793193,0.05575167756613254,0.016077247849311298,0.07772476732341102,0.0160772478493115,0.021065527509714,0.021142649933504475
gdb 749,0.09812961043050414,0.028925475152172322,0.028925452912920042,0.028925475152172166,0.34174508109103297,0.38402328788745216,0.45547322617184727,0.3840232878874522,0.3397523583231242,0.3853776555507333,0.4569862887213316,0.3853776555507332,0.3826933586968581,0.03065840210346907
gdb 1380,0.31798595411782304,0.08973651223776397,0.08973651929089138,0.08973651223776487,4.604115334692444,1.4666716078943207,4.55334284136488,1.4666716078943207,4.519797940231761,1.3800986049653137,4.558049610073859,1.3800986049653137,1.4994777205450847,0.12768608371549084
gdb 1392,0.8129757829801698,0.1641754072064684,0.16417547958180895,0.16417540720646875,1.215125634635821,0.8229140735912943,2.64061254465115,0.8229140735912943,0.9986490613951924,0.8307517851886596,2.6724641550316144,0.8307517851886596,0.8411668290189509,0.29346237736904474
gdb 1445,0.20757504868966442,0.05234723691656701,0.05234723173887346,0.05234723691656682,7.029025837345067,1.2107900124965878,4.488577108199368,1.2107900124965874,3.3875738603849768,1.286377948132791,4.510958981518097,1.2863779481327915,1.207631278237888,0.5174044261348969
gdb 1590,1.38731783198119,0.2680523742954902,0.2680524194338029,0.2680523742954899,1.6668207340491796,0.5556178850549507,4.0705627279862835,0.5556178850549505,1.388736271831498,0.8349395469410071,4.1014500379621985,0.8349395469410072,0.6665606403197374,0.45097365781190374
gdb 1647,0.28109986332429476,0.07119822881458061,0.0711982651954671,0.0711982288145795,4.054182934752166,1.6126420062773705,4.127140047071742,1.6126420062773703,4.831526778928045,1.6905125152710112,4.131148941868516,1.6905125152710112,1.6001021839353795,0.5755193812162653
gdb 1943,1.3067132148747829,0.28439728658836927,0.28440877058889785,0.28439728658836944,0.7359009693532975,0.19406406521358277,3.82112820089749,0.19406406521358258,1.3001246852431172,0.28254076179614723,3.8295392952259673,0.2825407617961473,0.3440282244204334,0.34343609397677416
gdb 2322,1.9427012282932778,0.37884609478692716,0.378847817747037,0.378846094786927,5.732323812073399,1.5255711406819994,4.139303585933078,1.5255711406819996,5.488271699331513,1.5049734655917544,4.156914917085485,1.5049734655917544,1.569164925228942,0.3831356771788686
gdb 2496,2.1963882307893425,0.053691183007096285,0.05369117417401286,0.05369118300709627,2.3717471393212013,0.3252041710235379,3.7620065279803137,0.3252041710235379,2.253254488789208,0.05492525846691545,3.7727631678424847,0.054925258466915684,0.297513956776102,0.2955118926591026
gdb 2754,1.4777660313113559,0.20770301047592032,0.20770303873783308,0.20770301047592019,3.4237724095273525,0.469606323698745,3.213831280411207,0.46960632369874505,1.4655168617251406,0.20657654858827432,3.183794355530794,0.20657654858827426,0.27280078755665577,0.27380090317243366
gdb 2848,2.638396392934198,0.5025409923175842,0.5025415993547091,0.5025409923175842,3.0517332407241358,1.436302348538184,4.232779915685234,1.4363023485381838,3.8075546476266915,1.432264320871334,4.215952573170086,1.4322643208713346,1.6587579938177661,0.38881131318425133
gdb 2983,0.4217988119586475,0.09333690502639092,0.09333690501160555,0.09333690502639094,4.8328112415865885,1.428121499280101,3.4568150694204487,1.4281214992801015,4.692066083064077,1.4636711728680845,3.4551952524747778,1.4636711728680845,1.4462898867194045,0.10140296379996305
