smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_DFT(eV),Id,voc_pcbm(V),jsc_pcbm(A.m-2),pce_pcbm(%),voc_pcdtbt(V),jsc_pcdtbt(A.m-2),pce_pcdtbt(%),sas1(%),pce_pcbm_sas(%),pce_pcdtbt_sas(%),PCA11,PCA21,PCA31,tSNE11,tSNE21,Cluster1,PCA1,PCA2,PCA3,tSNE1,tSNE2,Cluster
gdb 326,O=CC(=O)C=O,-7.091287196812,-11.4928,-6.9135153499402735,-3.95925666591,-9.1664,-2.552447052782015,3.132030530902,2.326329752312,4.361068297158258,326,2.4912871968120003,6.491318483228562,1.167778116790147,1.24074333409,6.491318483228562,0.5815920845889081,5.3954791805173485,-4.227701063727201,-4.8138870959284406,7.343945887108215,2.38795717849705,-9.35992472426022,21.513754,-15.38857,0,6.81870332984102,0.8223067877988007,-9.919903091669044,12.3523245,-18.293568,2
gdb 723,C1=NN=CN=N1,-6.73481803995,-10.1217,-6.4716390784192095,-3.050396372842,-9.5066,-2.8686048747932182,3.68714280571,0.615099597383,3.6030342036259912,723,2.1348180399500007,1.2834220449430387,0.19784905396648114,2.149603627158,0.0,0.0,5.968223015629604,-5.7703739616631236,-5.968223015629604,4.296132821108593,-0.8598061775084672,0.6170299062382976,26.474064,-4.3346066,0,4.309179150423319,-1.0853757933374315,0.6983712220823413,20.463617,-9.452611,0
gdb 1587,CC(=O)C(=O)C=O,-6.772913980378,-11.2156,-6.644032249510594,-3.126588253698,-9.1516,-2.5171500808033804,3.64632572668,2.064026412786,4.126882168707214,1587,2.1729139803780004,1.4589330085109447,0.2289188226612658,2.0734117463020003,0.0,0.0,5.829075484226223,-5.600156661564958,-5.829075484226223,4.578797353364446,0.9013426331980118,0.23348868437552225,25.471678,-8.966008,0,4.541136078088481,0.38978864899203636,0.05175629725174953,14.973061,-9.122512,0
gdb 1589,NC(=O)C(=O)C=O,-6.753866010164,-11.1089,-6.732598124042252,-3.311625678634,-9.9451,-3.3993688244874267,3.44224033153,1.163797961585,3.3332292995548256,1589,2.153866010164,2.710627081823847,0.4215917220913413,1.888374321366,0.0,0.0,5.567027058983206,-5.145435336891865,-5.567027058983206,5.6458757007212395,-0.6116582303020714,-0.49369514712418894,21.389372,-10.663438,0,5.440524779347076,-1.232446732075798,-0.46289436013606694,13.003197,-13.341977,0
gdb 2115,O=C1CC=CC1=O,-6.386512298894,-10.8568,-6.4296671674463575,-2.587802810502,-9.2243,-2.655859310774215,3.798709488392,1.632488659048,3.7738078566721422,2115,1.786512298894,0.8975414792253555,0.11578816139954043,2.612197189498,0.0,0.0,6.078272131169024,-5.962483969769484,-6.078272131169024,3.340711722852754,0.1303028844701747,1.1939826371574607,31.245846,3.6270661,0,3.474634733179477,0.5526638586270685,1.118988050486346,29.082119,-3.1307647,0
gdb 2124,O=C1CNCC1=O,-5.983783785798,-10.529,-6.577293179275243,-2.555149147278,-8.9026,-2.724856189075731,3.42863463852,1.626381392607,3.8524369901995117,2124,1.383783785798,2.821334600181948,0.2819203667220801,2.644850852722,0.0,0.0,6.362049784219508,-6.080129417497428,-6.362049784219508,2.6311749621717992,-0.4205601911692793,0.39876704688752274,33.548317,3.6980383,0,2.789447317018039,0.09709589428709688,0.36301612563110736,31.038946,-4.280463,0
gdb 2125,O=C1COCC1=O,-6.514405813188,-11.2428,-6.699581913723141,-2.82998414608,-9.3497,-2.9866560930895254,3.684421667108,1.893042853988,3.7129258206336155,2125,1.9144058131879997,1.2944933687075437,0.17895236961843336,2.37001585392,0.0,0.0,5.84314392604082,-5.664191556422386,-5.84314392604082,4.326600137598219,0.5036025507134306,0.5716623567666383,25.755844,-7.543031,0,4.292127991027376,0.030537232040424394,0.46017750199326857,16.045254,-9.910797,0
gdb 4019,NC(=[NH2+])C(C=O)=N[O-],-4.963356810048,-9.2809,-4.9943949607703635,-1.502068508304,-8.0714,-1.407466178276567,3.461288301744,1.209446794643,3.5869287824937963,4019,0.3633568100480005,2.5622137236472833,0.06722832274386968,3.697931491696,0.0,0.0,7.495017153854979,-7.427788831111109,-7.495017153854979,-3.4025941280067538,-2.2832953935057443,1.273792853543052,-25.520575,-11.361738,3,-3.618075068953335,-2.24495938932545,1.2557432349784525,-25.146324,-7.08929,1
gdb 4605,NC1=CNC(=O)C=N1,-5.371527600347999,-9.9252,-5.1639327504020365,-1.57826038916,-7.7132,-1.5152966552873075,3.79598834979,2.212065154687,3.648636095114729,4605,0.7715276003479994,0.9055194410888519,0.05044903518489076,3.62173961084,0.0,0.0,6.5939544353235116,-6.543505400138621,-6.5939544353235116,-2.0873219055496395,-0.48198206815167577,1.2286282222634886,-32.925125,-12.201484,3,-2.5646919045315566,-0.5780552428969843,0.966309987418669,-32.34606,-8.119833,1
gdb 4608,NC1=COC(=N)C=N1,-5.447719481204,-9.9645,-5.223812628337595,-1.7877880615139998,-7.9571,-1.7172419466289912,3.65993141969,2.007467971213,3.5065706817086038,4608,0.8477194812040005,1.3981343826783799,0.08558638809972331,3.412211938486,0.0,0.0,6.921283188922853,-6.83569680082313,-6.921283188922853,-1.9027417741802493,-1.1799409114896529,1.173403840843923,-32.41523,-13.75218,3,-2.3753279311686386,-1.2735209328709431,0.9871978542947525,-31.771011,-9.764622,1
