smiles,pce_pcbm_sas,pce_pcdtbt_sas,pce_1,pce_2,sas
c1ccc(o1)-c1cnc(-c2ccc(nc2)-c2nccs2)c2nsnc12,6.757960788109537,8.633918528544193,9.702820639670794,11.57877838010545,2.9448598515612563
c1ncc(-c2sc(-c3ccc(s3)-c3ncncn3)c3[SiH2]ccc23)c2nsnc12,5.686894587356955,6.806744454003555,9.819981802349288,10.939831668995888,4.133087214992333
c1ncc(s1)-c1cnc(-c2sc(-c3scc4cc[se]c34)c3cc[SiH2]c23)c2nsnc12,4.892186637046969,12.5926454945535,9.664688362092852,17.365147219599383,4.772501725045883
c1sc(-c2sc(-c3ccc([se]3)-c3cncc4nsnc34)c3occc23)c2ccoc12,5.309949916649843,15.482463748898883,9.449873180157264,19.622387012406303,4.139923263507421
c1cc2sc3c4oc(cc4[se]c3c2cn1)-c1nccc2nsnc12,5.558309587084628,5.639109029396831,9.254359698766953,9.335159141079156,3.696050111682325
c1cc2c([se]1)c1[se]c3cc(oc3c1c1ccccc21)-c1cncc2nsnc12,5.509509261439941,8.461295333020857,9.456456366542165,12.40824243812308,3.946947105102224
c1sc(-c2ccc(nc2)-c2ccc(nc2)-c2ncncn2)c2nccnc12,7.348634959527228,10.940999102520012,10.297598528202856,13.88996267119564,2.9489635686756284
c1ncc(-c2cnc3c(c2)c2cocc2c2c3cnc3ccc4=CCC=c4c23)c2nsnc12,6.047729303618388,12.238514370068067,9.8525787406249,16.04336380707458,3.804849437006512
c1ccc2c3sc4cc(sc4c3c3nsnc3c2c1)-c1cncc2nsnc12,5.762798573163826,6.599253621044799,9.18581545848583,10.022270506366803,3.4230168853220047
c1cnc(s1)-c1sc(-c2ncc(-c3scc4[se]ccc34)c3nsnc23)c2ccsc12,6.56482897298728,13.234667107691614,10.691489159571626,17.36132729427596,4.1266601865843455
c1sc(-c2sc(c3[SiH2]ccc23)-c2cnc(-c3cccnc3)c3nsnc23)c2nccnc12,6.151860928681364,12.96406770283242,10.223633728769608,17.035840502920664,4.071772800088244
