Molecule,Gap_HOMO_LUMO_eV,Oscillator_Strength,Fluorescence_energy_eV,Singlet_Triplet_gap_eV,Dipole_Debye,Hardness_eta_eV,Chemical_Potential_mu_eV,Electrophilicity_omega_eV,Multi_Objective_Score,Stability_Score,Lifetime_ns,Total_Energy_eV,Status
gdb_4807,,,2.0041711789691843,1.4486664574533217,,,,,,,43048.36379721969,-10883.05915380153,Success
gdb_8723,,,1.3653752246866837,0.4318493457661295,,,,,,,7179157559.96698,-12368.30561270529,Success
gdb_26187,,,2.006155370510376,1.470622234004807,,,,,,,41792.70019198244,-11953.344932528433,Success
gdb_32866,,,2.002734204781548,1.450167973693299,,,,,,,43604.78765525392,-11952.814751996855,Success
gdb_37079,,,1.8864506952555289,1.855663282449394,,,,,,,10127.728192620172,-9894.097165834284,Success
gdb_37080,,,1.8778890110396032,1.8121704628499729,,,,,,,6492.5821401684125,-9458.03254819326,Success
gdb_43243,,,1.6133654942991695,1.234738972744123,,,,,,,4065.061863256349,-10876.02444551435,Success
gdb_117026,,,1.889957055066079,0.2489405218884741,,,,,,,48282.04798285891,-12357.422368152327,Success
gdb_130536,,,2.059034058619055,0.7076511441475956,,,,,,,659.9250054832328,-11748.890156085572,Success
gdb_133337,,,1.4069855282442667,0.8972721343011014,,,,,,,155098.96479438167,-13882.878779695697,Success
